Date,Open ,High,Low,Close
2016-10-24 10:00:00,825.97,827.1,824.05,824.24
2016-10-24 12:00:00,824.25,826.3,824.11,825.77
2016-10-24 14:00:00,825.8,830.23,825.34,829.75
2016-10-25 09:30:00,828.48,832.56,828.28,831.48
2016-10-25 10:00:00,831.47,831.53,827.24,829.78
2016-10-25 12:00:00,829.76,830.32,827.52,828.33
2016-10-25 14:00:00,828.44,829.3,827.65,828.64
2016-10-26 09:30:00,822.95,826.76,821.95,823.48
2016-10-26 10:00:00,823.51,832.11,823.21,830.03
2016-10-26 12:00:00,830.03,832.58,825.84,826.5
2016-10-26 14:00:00,826.49,828.2,825.01,827.31
2016-10-27 09:30:00,834.48,837.8,833.54,836.34
2016-10-27 10:00:00,836.34,836.49,827.3,829.86
2016-10-27 12:00:00,829.89,830.21,824.44,827.66
2016-10-27 14:00:00,827.67,829.24,822.83,823.78
2016-10-28 09:30:00,827.73,829.66,825.57,828.31
2016-10-28 10:00:00,828.35,831.54,825.88,831.2
2016-10-28 12:00:00,831.2,832.09,821.1,821.15
2016-10-28 14:00:00,821.14,822.7,818.2,818.86
2016-10-31 09:30:00,823.8,826.81,823.07,824.85
2016-10-31 10:00:00,824.81,826.52,821.99,826.4
2016-10-31 12:00:00,826.41,827.16,824.51,825.36
2016-10-31 14:00:00,825.34,826.18,823.43,823.5
2016-11-01 09:30:00,826.43,829.9,823.41,823.58
2016-11-01 10:00:00,823.65,824.99,817.32,819.32
2016-11-01 12:00:00,819.33,819.5,810.36,811.69
2016-11-01 14:00:00,811.7,816.47,807.07,816.1
2016-11-02 09:30:00,818.43,821.15,814.39,820.0
2016-11-02 10:00:00,819.98,820.0,815.65,816.73
2016-11-02 12:00:00,816.74,817.43,809.12,811.62
2016-11-02 14:00:00,811.63,813.32,808.15,810.61
2016-11-03 09:30:00,811.73,815.27,806.34,806.34
2016-11-03 10:00:00,806.42,812.18,805.34,810.93
2016-11-03 12:00:00,810.92,811.41,806.91,807.39
2016-11-03 14:00:00,807.42,810.57,806.9,807.96
2016-11-04 09:30:00,800.99,803.94,797.74,798.19
2016-11-04 10:00:00,798.28,807.67,798.28,806.44
2016-11-04 12:00:00,806.42,810.31,806.34,808.57
2016-11-04 14:00:00,808.55,808.55,802.74,802.9
2016-11-07 09:30:00,816.62,821.65,814.24,821.29
2016-11-07 11:00:00,821.28,825.96,821.26,824.32
2016-11-07 13:00:00,824.34,824.93,820.71,821.75
2016-11-07 15:00:00,821.83,826.31,821.3,825.77
2016-11-08 09:30:00,825.86,825.95,820.91,823.53
2016-11-08 11:00:00,823.46,832.55,823.37,832.43
2016-11-08 13:00:00,832.44,832.67,826.07,827.14
2016-11-08 15:00:00,827.12,829.96,826.8,827.62
2016-11-09 09:30:00,805.66,822.71,805.44,814.29
2016-11-09 11:00:00,814.3,825.14,813.71,825.02
2016-11-09 13:00:00,825.02,825.41,817.86,822.6
2016-11-09 15:00:00,822.61,826.18,821.64,823.42
2016-11-10 09:30:00,827.49,833.8,798.41,798.96
2016-11-10 11:00:00,798.68,810.24,798.2,806.94
2016-11-10 13:00:00,806.95,812.29,805.92,811.02
2016-11-10 15:00:00,811.08,811.55,805.81,806.16
2016-11-11 09:30:00,819.15,831.57,819.09,827.84
2016-11-11 11:00:00,827.79,835.01,824.38,832.87
2016-11-11 13:00:00,832.85,835.65,831.19,831.77
2016-11-11 15:00:00,831.75,838.02,831.7,836.98
2016-11-14 09:30:00,837.69,839.0,832.77,832.93
2016-11-14 11:00:00,832.92,835.88,831.35,833.93
2016-11-14 13:00:00,833.95,836.03,829.99,833.5
2016-11-14 15:00:00,833.48,834.23,831.98,832.19
2016-11-15 09:30:00,836.28,848.05,834.48,846.37
2016-11-15 11:00:00,846.46,846.69,843.4,843.91
2016-11-15 13:00:00,843.9,848.39,843.12,847.86
2016-11-15 15:00:00,847.84,850.03,847.74,847.91
2016-11-16 09:30:00,847.08,853.68,846.23,853.21
2016-11-16 11:00:00,853.22,857.52,850.77,856.04
2016-11-16 13:00:00,856.05,858.31,855.1,856.67
2016-11-16 15:00:00,856.68,858.28,856.49,857.56
2016-11-18 09:30:00,868.23,869.78,865.47,868.32
2016-11-18 11:00:00,868.27,874.22,867.82,872.04
2016-11-18 13:00:00,872.06,873.12,871.23,872.89
2016-11-18 15:00:00,872.87,873.84,871.83,872.61
2016-11-21 09:30:00,876.25,879.86,872.52,874.51
2016-11-21 11:00:00,874.52,877.68,873.06,877.0
2016-11-21 13:00:00,876.96,877.83,875.61,875.62
2016-11-21 15:00:00,875.63,879.2,875.21,879.05
2016-11-22 09:30:00,885.14,888.84,884.84,886.4
2016-11-22 11:00:00,886.39,888.42,884.21,884.94
2016-11-22 13:00:00,884.93,888.14,884.89,887.13
2016-11-22 15:00:00,887.14,888.74,886.98,888.33
2016-11-23 09:30:00,887.57,890.77,883.35,890.73
2016-11-23 11:00:00,890.71,891.0,887.63,889.16
2016-11-23 13:00:00,889.19,889.89,887.29,887.9
2016-11-23 15:00:00,887.89,889.36,887.7,889.19
2016-11-25 09:30:00,888.95,890.46,886.95,888.29
2016-11-25 11:00:00,888.26,891.39,887.72,890.71
2016-11-28 09:30:00,888.87,891.46,886.39,889.15
2016-11-28 11:00:00,889.05,891.43,888.31,890.48
2016-11-28 13:00:00,890.47,890.47,886.57,887.68
2016-11-28 15:00:00,887.7,889.67,886.28,887.38
2016-11-29 09:30:00,885.87,890.2,881.52,889.78
2016-11-29 11:00:00,889.79,890.86,887.83,889.69
2016-11-29 13:00:00,889.7,890.0,887.77,888.91
2016-11-29 15:00:00,888.93,888.95,884.63,885.35
2016-11-30 09:30:00,887.14,887.19,882.3,884.04
2016-11-30 11:00:00,884.02,886.5,883.48,885.16
2016-11-30 13:00:00,885.15,885.77,880.99,881.8
2016-11-30 15:00:00,881.81,884.83,879.74,879.82
