Date,Open,High,Low,Close,Volume
11/24/2017,481.13,482.92,479.34,479.74,134441
11/27/2017,480.7,484.17,480.22,481.96,339337
11/28/2017,482.85,493.56,480.7,493.06,447598
11/29/2017,495.83,505.33,494.1,500.82,685005
11/30/2017,503.94,509,499.56,501.19,1071210
12/1/2017,499.67,504.4,490.73,502.08,574691
12/4/2017,509.11,515.6,508.1,513.5,716880
12/5/2017,513.62,515.48,510.9,512.12,501543
12/6/2017,507,516.52,506.2,511.82,386891
12/7/2017,511.41,516.47,511.27,512.41,416743
12/8/2017,514.2,517.3,511.61,515.49,471686
12/11/2017,515.13,515.71,510.79,512.13,398137
12/12/2017,513.94,518.55,511.67,517.73,430666
12/13/2017,517.02,518.88,511.4,512.55,482113
12/14/2017,514.56,514.75,506.49,506.75,336332
12/15/2017,506.5,515.71,506.37,511.87,896396
12/18/2017,517,519.46,515.07,518.86,433278
12/19/2017,520.74,520.74,515.06,515.82,424475
12/20/2017,520.42,520.42,512.54,514.55,294654
12/21/2017,516.55,518.68,512.88,513.59,374923
12/22/2017,514.67,514.67,508.64,512.12,258244
12/26/2017,513.33,513.99,510.01,513.72,177023
12/27/2017,514.37,515.62,512.26,514.32,216019
12/28/2017,515,518.3,514.71,517.98,222400
12/29/2017,520,520.03,513.71,513.71,306692
1/2/2018,518.78,518.78,506.48,508.97,527135
1/3/2018,508.66,514.74,508.16,514.34,448724
1/4/2018,516.5,521.31,515.01,521.13,389830
1/5/2018,523.86,525.94,520.89,525.57,482968
1/8/2018,523.94,529.72,523.52,529.49,561517
1/9/2018,529,540,528.57,533.94,547671
1/10/2018,534.47,535.88,529.78,531.57,483772
1/11/2018,534.15,538.96,530.61,537.92,765925
1/12/2018,552.7,556.37,546.71,555.53,941849
1/16/2018,562.62,571.82,561.06,563,1370552
1/17/2018,567.21,578.63,565.29,576.51,983901
1/18/2018,577.27,584.21,575.02,579.22,819845
1/19/2018,582.62,590.56,581.03,590.26,591655
1/22/2018,592.46,593.44,581.99,593.26,843573
1/23/2018,593,594.52,588.4,589.68,643398
1/24/2018,591.9,592.45,583.18,587.67,642174
1/25/2018,585,585.93,572.95,575.5,892464
1/26/2018,578.21,586.95,577.12,586.8,516601
1/29/2018,585.53,585.53,574.2,574.42,611014
1/30/2018,570.05,571.53,562.18,562.29,851135
1/31/2018,564.81,566.97,559.65,561.8,665825
2/1/2018,561.41,568.48,558.75,565.19,659597
2/2/2018,565.26,565.26,545.81,548.32,808150
